Uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:1380
9112D94B-73D4-492D-AAB1-65DAF27E9EFB,,,Date de notification,Date of notification,Date de notification,Date of notification,Misc,Datetime,
6441BFC0-8069-4823-AA56-99D46419B4A9,,,Ville,Town,Ville,Town,Misc,Text,
E6D82864-F301-4280-92A7-676D6A43805D,,,Village,Village,Village,Village,Misc,Text,
B4FCCCE3-6C20-478E-93E0-BF4285ED796D,,,Type de naissance,Type of birth,Type de naissance,Type of birth,Misc,Text,
B2B2D227-F86A-46CF-B97A-269D703160BE,,,Rang de naissance,Rank of birth,Rang de naissance,Rank of birth,Misc,Numeric,
AE19D3F9-34C8-42C8-9EA9-250ABD4D39E2,,,Sage femme,Midewife,Sage femme,Midewife,Misc,N/A,
0B3C45B4-A2AE-4294-AC85-E86616CDC4E4,,,État de la déclaration,Declaration status,État de la déclaration,Declaration status,Misc,Text,
4A60B304-CD51-425D-9F17-B30B462EBE5C,,,Infirmière Accoucheuse,Delivery nurse,Infirmière Accoucheuse,Delivery nurse,Misc,N/A,
FAA198EC-AB9D-45AF-B5D1-FFC430B0861F,,,Nombre d’enfants vivant durant sa vie,Number of children living in lifetime,Nombre d’enfants vivant durant sa vie,Number of children living in lifetime,Misc,Numeric,
866F1EBF-43E5-476E-AC40-C1AF5C3E2A42,,,Nombre de décès foetal,Number of fetal deaths,Nombre de décès foetal,Number of fetal deaths,Misc,Numeric,
03285CB1-DCB2-4855-B34C-0EBE10756290,,,Date dernier décès vivant,Date of last living death,Date dernier décès vivant,Date of last living death,Misc,Date,
59D73F23-B9FF-45F0-B44E-170481B9946B,6441BFC0-8069-4823-AA56-99D46419B4A9;E6D82864-F301-4280-92A7-676D6A43805D,,Lieu de naissance,Place of Birth,Lieu de naissance,Place of Birth,Misc,N/A,
6C1FC2AB-3194-418A-9C50-AE8CB88D0CC1,,22774448-247c-4a06-898e-fdbf21da5c83;AE19D3F9-34C8-42C8-9EA9-250ABD4D39E2;4A60B304-CD51-425D-9F17-B30B462EBE5C;75f3c572-74dc-4c71-aa9a-3278dbcd2fb6,Personne ayant assisté la mère au moment de l’accouchement,Person who assisted the mother at the time of childbirth,Personne ayant assisté la mère au moment de l’accouchement,Person who assisted the mother at the time of childbirth,Misc,Coded,
890BCDC8-2C02-4805-B9F0-82F19AA3FA59,59D73F23-B9FF-45F0-B44E-170481B9946B;B4FCCCE3-6C20-478E-93E0-BF4285ED796D;B2B2D227-F86A-46CF-B97A-269D703160BE;6C1FC2AB-3194-418A-9C50-AE8CB88D0CC1,,Section 1: Renseignements sur l’enfant,Child’s informations (instruction N°1),Section 1: Renseignements sur l’enfant,Child’s informations (instruction N°1),Misc,N/A,
ACA3563D-D36E-4FE0-B56C-488550720733,FAA198EC-AB9D-45AF-B5D1-FFC430B0861F;866F1EBF-43E5-476E-AC40-C1AF5C3E2A42;03285CB1-DCB2-4855-B34C-0EBE10756290,,Section 2: Renseignements sur la mère,Mother’s information (instruction N°2),Section 2: Renseignements sur la mère,Mother’s information (instruction N°2),Misc,N/A,
5A1D71BA-DC56-428A-BE30-3484D3230015,deaedc5b-df3d-4b16-9c8e-8273204d06ed;0B3C45B4-A2AE-4294-AC85-E86616CDC4E4;7e919f25-0e0f-43e3-ad5b-1672edde58aa,,Section 3 : Renseignements sur le déclarant,Declarant's information,Section 3 : Renseignements sur le déclarant,Declarant's information,Misc,N/A,
409E6307-A1E7-4551-9F53-0DD4F4C129A6,9112D94B-73D4-492D-AAB1-65DAF27E9EFB;890BCDC8-2C02-4805-B9F0-82F19AA3FA59;ACA3563D-D36E-4FE0-B56C-488550720733;5A1D71BA-DC56-428A-BE30-3484D3230015,,Déclaration de Naissance,Birth Declaration,Déclaration de Naissance,Birth Declaration,Misc,N/A,
