uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1272
2537ae4f-2144-422a-b622-c61b681457ea,,,Date de l'Echographie,Date of Ultrasound,Date de l'Echographie,Date of Ultrasound,Misc,Date,
692ba3af-9f97-45a7-a6d6-31ee33f445b5,,,Gesteté-Parité,Gesture-parity,Gesteté-Parité,Gesture-parity,Misc,Text,
ca172e91-0b36-4b74-954c-2daad152c386,,,"CPN,Date des dernières règles (DDR)","ANC, Last Menstrual Period","CPN,Date des dernières règles (DDR)","ANC, Last Menstrual Period",Misc,Date,
47cffd8e-d84f-471f-8468-1e8f951c56c1,,,Date probable d'accouchement,Expected Date of Delivery,Date probable d'accouchement,Expected Date of Delivery,Misc,Date,
a7e8c7ba-08e2-4c5b-9da0-d56cb43910f2,,,Médecin Traitant,Doctor in Charge,Médecin Traitant,Doctor in Charge,Misc,Text,
11f095b5-766e-4e91-b811-f170332ed112,,,Indication,Indication,Indication,Indication,Misc,Text,
c4596f8c-3f10-11e4-adec-0800271c1b75,,,Present,Present,Present,Present,Misc,N/A,
c459ee22-3f10-11e4-adec-0800271c1b75,,,Absent,Absent,Absent,Absent,Misc,N/A,
d94ffb5d-823d-40ae-899f-eec87dc5528c,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75,Sac ovulaire,Ovular sack,Sac ovulaire,Ovular sack,Misc,Coded,
3145cea3-dc42-4f4b-811e-a6e858684579,,,Double Contour,Dual Contour,Double Contour,Dual Contour,Misc,N/A,
5b98d673-df1f-47d8-b577-3783947dc1f6,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75;3145cea3-dc42-4f4b-811e-a6e858684579,Couronne trophoblastique,trophoblastic crown,Couronne trophoblastique,trophoblastic crown,Misc,Coded,
23c3f9e8-6d41-499f-bb7c-7c70a66701ba,,,Activité,Activity,Activité,Activity,Misc,N/A,
fa7d603c-3400-46f2-8ece-596fad34b25d,,c4596f8c-3f10-11e4-adec-0800271c1b75;c459ee22-3f10-11e4-adec-0800271c1b75;23c3f9e8-6d41-499f-bb7c-7c70a66701ba,Embryon,Embryo,Embryon,Embryo,Misc,Coded,
2f7ded06-2292-4691-a651-3b195cc7340d,,,LCC(cm),LCC(cm),LCC(cm),LCC(cm),Misc,Numeric,
a2fda9bf-dc9b-4ef4-be52-daec5d7a70a8,,,BIP(cm),BIP(cm),BIP(cm),BIP(cm),Misc,Numeric,
58a98e07-9599-45db-b9de-25e013759e1f,,,LF(cm),LF(cm),LF(cm),LF(cm),Misc,Numeric,
27d92fe2-ad14-4ea4-92a4-dc0ca74ed794,,,Notes Annexes,Appendix Notes,Notes Annexes,Appendix Notes,Misc,Text,
a0284e6f-d34b-4a4a-9fa4-7416721e67bf,,,Conclusion,Conclusion,Conclusion,Conclusion,Misc,Text,
4545a650-da41-4eb1-bc78-ec6625053721,d94ffb5d-823d-40ae-899f-eec87dc5528c;5b98d673-df1f-47d8-b577-3783947dc1f6;fa7d603c-3400-46f2-8ece-596fad34b25d;2f7ded06-2292-4691-a651-3b195cc7340d;a2fda9bf-dc9b-4ef4-be52-daec5d7a70a8;58a98e07-9599-45db-b9de-25e013759e1f;27d92fe2-ad14-4ea4-92a4-dc0ca74ed794;a0284e6f-d34b-4a4a-9fa4-7416721e67bf,,Resultat 1er Trimestre,1st Quater Result,Resultat 1er Trimestre,1st Quater Result,Misc,Coded,
43c55c17-02f9-4d40-9f51-4d47d18b39ac,2537ae4f-2144-422a-b622-c61b681457ea;692ba3af-9f97-45a7-a6d6-31ee33f445b5;ca172e91-0b36-4b74-954c-2daad152c386;47cffd8e-d84f-471f-8468-1e8f951c56c1;a7e8c7ba-08e2-4c5b-9da0-d56cb43910f2;11f095b5-766e-4e91-b811-f170332ed112;4545a650-da41-4eb1-bc78-ec6625053721,,ECHOGRAPHIE OBSTETRICALE 1er Trimestre,Obstetrical ultrasound 1st Quater Form ,ECHOGRAPHIE OBSTETRICALE 1er Trimestre,Obstetrical ultrasound 1st Quater Form,Misc,N/A,
