uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1200
49302bb3-93f1-4f17-9ae8-8bf513356467,,,Moyen,Fair,Moyen,Fair,Misc,N/A,
1cb5e2f4-9813-4683-a81d-ffee877c7522,,,Mauvais,Poor,Mauvais,Poor,Misc,N/A,
4a8c981b-a746-424b-a38a-7c62a07d3419,,,Continuer avec le même traitement ARV,Continue same ART regimen,Continuer avec le même traitement ARV,Continue same ART regimen,Misc,N/A,
122f223c-ff02-48e0-af40-da77d28a2ed4,,,Passer à la ligne ARV suivante,Switch to the next line ART,Passer à la ligne ARV suivante,Switch to the next line ART,Misc,N/A,
c1c8d5cf-3be8-4acf-b547-dc7fdadc759b,,,Refaire Session Observance,Proceed to extended EAC,Refaire Session Observance,Proceed to extended EAC,Misc,N/A,
2d7b7d0f-d49b-4643-8b38-d5e952d2a7f1,,,1ère Session Observance,EAC 1,1ère Session Observance,EAC 1,Misc,N/A,
beb3b80d-1f5d-412d-941d-3842eb56b0f3,,,2ème Session Observance,EAC 2,2ème Session Observance,EAC 2,Misc,N/A,
010efc37-f82a-41c9-a348-2efee49476b9,,,3ème Session Observance,EAC 3,3ème Session Observance,EAC 3,Misc,N/A,
d94fa023-3661-4832-9052-94b50446fe20,,,1ère Session Observance Prolongée,Ext EAC 1,1ère Session Observance Prolongée,Ext EAC 1,Misc,N/A,
42147c32-61b9-4357-b5a9-6785c605d551,,,2ème Session Observance Prolongée,Ext EAC 2,2ème Session Observance Prolongée,Ext EAC 2,Misc,N/A,
b3bd3667-c83f-400b-bda9-14e6adec61e7,,,3ème Session Observance Prolongée,Ext EAC 3,3ème Session Observance Prolongée,Ext EAC 3,Misc,N/A,
235a6246-6179-4309-ba84-6f0ec337eb48,,,"Malaria, Enceinte","Malaria, Pregnant",Est enceinte,Is pregnant,Misc,Boolean,
b636bdf8-c054-4d6e-81ee-1cf6d04c798f,,Good;Fair;Poor,Classification de l'adhésion,Classification of adherence,Classification de l'adhésion,Classification of adherence,Misc,Coded,
377fdf0b-9259-4197-9cf1-697e513e92cb,,,Date Session Observance,Date of EAC,Date Session Observance,Date of EAC,Misc,Date,,
80472b4d-e37b-46c9-9078-85e3a509af24,,EAC 1;EAC 2;EAC 3;Ext EAC 1;Ext EAC 2;Ext EAC 3,Num Session,Session Number,Num Session,Session Number,Misc,Coded,,
ccd93f5a-e40c-45f9-9074-56695173cefd,,,Enceinte,Pregnant,Enceinte,Pregnant,Misc,N/A,
6383edc5-c8cf-496b-80e6-ccbf2831ef6b,,,Allaitement maternel,Breastfeeding,Allaitement maternel,Breastfeeding,Misc,N/A,
e4f1a1bf-de94-479d-abe0-6b5e99289e28,,,Aucune des réponses ci-dessus,None of the Above,Aucune des réponses ci-dessus,None of the Above,Misc,N/A,
7c055bd2-2a41-4c14-956a-8686d8eb08bf,,Pregnant;Breastfeeding;None of the Above,Grossesse et allaitement,Pregnancy and BF status,Grossesse et allaitement,Pregnancy and BF status,Misc,Coded,,
97af6d2f-0f05-4782-97e2-e1d5cff28ffa,,,Charge virale supprimée,Virally Suppressed,Charge virale supprimée,Virally Suppressed,Misc,N/A,
b9474526-38ab-45a1-9124-222e87f30bc4,,,Charge virale non supprimée,Virally Unsuppressed,Charge virale non supprimée,Virally Unsuppressed,Misc,N/A,
38038b4e-a095-4045-a8d7-5acbf7b17e06,,Virally Suppressed;Virally Unsuppressed,Charge virale à 3 mois,Viral Load Status at 3 months,Charge virale à 3 mois,Viral Load Status at 3 months,Misc,Coded,,
3b94f429-2e93-4e89-a706-f1ae1497c097,,Virally Suppressed;Virally Unsuppressed,Charge virale à 6 mois,Viral Load Status at 6 months,Charge virale à 6 mois,Viral Load Status at 6 months,Misc,Coded,,
2c219829-acf1-4d1c-83c9-7ba5f6d9825f,,Yes full name;No full name,Test de résistance effectué,Resistance Test done,Test de résistance effectué,Resistance Test done,Misc,Coded,,
b4229e3a-10db-483d-a3ad-88927b693689,,,Aucune résistance signalée,No Resistance Reported,Aucune résistance signalée,No Resistance Reported,Misc,N/A,
ced68f59-8b49-4f91-bba5-7c07c5d9ca92,,,Résistance signalée,Resistance Reported,Résistance signalée,Resistance Reported,Misc,N/A,
1a32273b-f99e-402d-af70-062f09963dc8,,No Resistance Reported;Resistance Reported,Résultat test de résistance,Outcome of Resistance test,Résultat test de résistance,Outcome of Resistance test,Misc,Coded,,
32adf7f8-2ca0-4e35-b9b5-e68522f7bab0,,Continue same ART regimen;Switch to the next line ART;Proceed to extended EAC,Résultat du programme EAC,EAC Outcome,Résultat du programme EAC,EAC Outcome,Misc,Coded,
f0b37c36-506e-4bd0-b41f-313d5bc63459,,,Notes sur le résultat du programme EAC,EAC Outcome Notes,Notes sur le résultat du programme EAC,EAC Outcome Notes,Misc,Text,,
ee61cff3-198a-462e-bbe2-ee7cb024c28c,Date of EAC;Session Number;Pregnancy and BF status;Classification of adherence;Viral Load Status at 3 months;Viral Load Status at 6 months;Resistance Test done;Outcome of Resistance test;EAC Outcome;EAC Outcome Notes,,Formulaire EAC,EAC Form,Formulaire EAC,EAC Form,Misc,N/A,,
