ID,name,categ_id/id,Product Type,Sale Price,Cost,mrp,active,available_in_pos,purchase_ok,sale_ok,company_id/id,purchase_method,cost_method,create_date,sale_delay,description,description_picking,drug,default_code,property_stock_inventory/id,invoice_policy,location_id/id,manufacturer/id,pos_categ_id/id,item_ids/id,property_stock_procurement/id,attribute_line_ids/id,property_stock_production/id,description_purchase,uom_po_id/id,description_sale,sequence,to_weight,track_service,tracking,uuid,uom_id/id,valuation,warehouse_id/id,warranty,weight
SERVICE_1,Public holidays per day,services_accueil_et_orientation,Service,600,1,,TRUE,TRUE,FALSE,TRUE,base.main_company,On received quantities,standard,01/05/2021 10:06,0,,,,,stock.location_inventory,Ordered quantities,,,,,stock.location_procurement,,stock.location_production,,product.product_uom_unit,,1,FALSE,Manually set quantities on order,No Tracking,328c1971-9d06-4621-936a-e8227fb8e2c7,product.product_uom_unit,manual_periodic,,0,0
SERVICE_2,Chronic patient fee per year,services_accueil_et_orientation,Service,900,1,,TRUE,TRUE,FALSE,TRUE,base.main_company,On received quantities,standard,01/05/2021 10:06,0,,,,,stock.location_inventory,Ordered quantities,,,,,stock.location_procurement,,stock.location_production,,product.product_uom_unit,,1,FALSE,Manually set quantities on order,No Tracking,ff6520e6-bb2f-4500-8177-a8e1fa2c4e0f,product.product_uom_unit,manual_periodic,,0,0
SERVICE_3,Medical report,services_accueil_et_orientation,Service,2000,1,,TRUE,TRUE,FALSE,TRUE,base.main_company,On received quantities,standard,01/05/2021 10:06,0,,,,,stock.location_inventory,Ordered quantities,,,,,stock.location_procurement,,stock.location_production,,product.product_uom_unit,,1,FALSE,Manually set quantities on order,No Tracking,a4842277-6329-496b-8aab-671db9958f0c,product.product_uom_unit,manual_periodic,,0,0
SERVICE_4,Bill analysis,services_accueil_et_orientation,Service,225,1,,TRUE,TRUE,FALSE,TRUE,base.main_company,On received quantities,standard,01/05/2021 10:06,0,,,,,stock.location_inventory,Ordered quantities,,,,,stock.location_procurement,,stock.location_production,,product.product_uom_unit,,1,FALSE,Manually set quantities on order,No Tracking,154d2e53-0f48-48aa-96b4-c15e553afe18,product.product_uom_unit,manual_periodic,,0,0
SERVICE_5,Express consultation,services_accueil_et_orientation,Service,225,1,,TRUE,TRUE,FALSE,TRUE,base.main_company,On received quantities,standard,01/05/2021 10:06,0,,,,,stock.location_inventory,Ordered quantities,,,,,stock.location_procurement,,stock.location_production,,product.product_uom_unit,,1,FALSE,Manually set quantities on order,No Tracking,cbaffb23-c905-4acd-9194-f64d8a367e3e,product.product_uom_unit,manual_periodic,,0,0
SERVICE_6,Comprehensive checkup,services_accueil_et_orientation,Service,450,1,,TRUE,TRUE,FALSE,TRUE,base.main_company,On received quantities,standard,01/05/2021 10:06,0,,,,,stock.location_inventory,Ordered quantities,,,,,stock.location_procurement,,stock.location_production,,product.product_uom_unit,,1,FALSE,Manually set quantities on order,No Tracking,c7795579-e019-4e57-82e6-558b102bcac1,product.product_uom_unit,manual_periodic,,0,0
SERVICE_7,Consultation booklet,services_accueil_et_orientation,Service,250,1,,TRUE,TRUE,FALSE,TRUE,base.main_company,On received quantities,standard,01/05/2021 10:06,0,,,,,stock.location_inventory,Ordered quantities,,,,,stock.location_procurement,,stock.location_production,,product.product_uom_unit,,1,FALSE,Manually set quantities on order,No Tracking,1ae2275a-ed70-4bbd-b0d7-617715ed6572,product.product_uom_unit,manual_periodic,,0,0
SERVICE_8,Age declaration,services_accueil_et_orientation,Service,1250,1,,TRUE,TRUE,FALSE,TRUE,base.main_company,On received quantities,standard,01/05/2021 10:06,0,,,,,stock.location_inventory,Ordered quantities,,,,,stock.location_procurement,,stock.location_production,,product.product_uom_unit,,1,FALSE,Manually set quantities on order,No Tracking,954d00cf-c458-4cab-b23e-469bf58a4170,product.product_uom_unit,manual_periodic,,0,0
SERVICE_9,Tuberculosis treatment,services_accueil_et_orientation,Service,1250,1,,TRUE,TRUE,FALSE,TRUE,base.main_company,On received quantities,standard,01/05/2021 10:06,0,,,,,stock.location_inventory,Ordered quantities,,,,,stock.location_procurement,,stock.location_production,,product.product_uom_unit,,1,FALSE,Manually set quantities on order,No Tracking,18722a26-93ff-40ef-9f7a-59cac785164d,product.product_uom_unit,manual_periodic,,0,0
SERVICE_10,Specialists/ Consultation,services_accueil_et_orientation,Service,750,1,,TRUE,TRUE,FALSE,TRUE,base.main_company,On received quantities,standard,01/05/2021 10:06,0,,,,,stock.location_inventory,Ordered quantities,,,,,stock.location_procurement,,stock.location_production,,product.product_uom_unit,,1,FALSE,Manually set quantities on order,No Tracking,0870be0e-db55-464c-bf04-16e584920053,product.product_uom_unit,manual_periodic,,0,0
